id,teacher_id,class_id,session_name,session_date,start_time,end_time,status,notes,qr_code,allow_late_attendance,late_minutes_allowed,created_at,updated_at,duration,present_count,absent_count,excused_count,total_students
1,4,8,"Direct Attendance - Nov 01, 2025 18:32",2025-11-01,18:32:15,20:10:29,completed,,session_6906522fb8c4d_1762021935,false,10,2025-11-01 18:32:15,2025-11-01 20:10:29,60,0,0,0,0
2,4,13,"Direct Attendance - Nov 01, 2025 18:32",2025-11-01,18:32:48,20:13:38,completed,,session_690652505b472_1762021968,false,10,2025-11-01 18:32:48,2025-11-01 20:13:38,60,0,0,0,0
5,4,14,"Quick Session - Nov 01, 2025 20:45",2025-11-01,20:45:30,20:46:55,completed,,session_6906716ace08b_1762029930,false,10,2025-11-01 20:45:30,2025-11-01 20:46:55,60,0,0,0,0
6,1,2,"Test QR Session - Nov 01, 2025 20:49",2025-11-01,20:49:28,09:47:57,completed,Test session for QR scanning,test_qr_69067258c8356,false,10,2025-11-01 20:49:28,2025-11-02 09:47:57,60,0,0,0,0
7,4,8,Make up Class,2025-11-01,20:55:49,20:57:21,completed,Lesson 2-3,session_690673d558c2b_1762030549,false,10,2025-11-01 20:55:49,2025-11-01 20:57:21,60,0,0,0,0
8,4,13,"Direct Attendance - Nov 02, 2025 05:25",2025-11-02,05:25:23,05:33:24,completed,,session_6906eb43626f6_1762061123,false,10,2025-11-02 05:25:23,2025-11-02 05:33:24,60,0,0,0,0
9,5,15,"Direct Attendance - Nov 02, 2025 13:45",2025-11-02,13:45:17,,active,,session_6907606dbabf5_1762091117,false,10,2025-11-02 13:45:17,2025-11-07 00:27:57,60,3,0,0,0
10,4,14,"Direct Attendance - Nov 03, 2025 15:34",2025-11-03,15:34:10,08:12:00,completed,,session_6908cb7278ab8_1762184050,false,10,2025-11-03 15:34:10,2025-11-04 08:12:00,60,0,0,0,0
11,5,16,"Quick Session - Nov 05, 2025 13:09",2025-11-05,13:09:56,,active,,session_690b4ca4e0c00_1762348196,false,10,2025-11-05 13:09:56,2025-11-07 00:50:15,60,3,0,0,0
12,5,16,"Quick Session - Nov 05, 2025 15:17",2025-11-05,15:17:15,,active,,session_690b6a7bc2f7a_1762355835,false,10,2025-11-05 15:17:15,2025-11-07 01:02:16,60,1,0,0,0
13,5,16,"Quick Session - Nov 05, 2025 15:21",2025-11-05,15:21:40,,active,,session_690b6b84bc9a8_1762356100,false,10,2025-11-05 15:21:40,2025-11-07 01:08:07,60,8,0,0,0
14,5,16,"Quick Session - Nov 05, 2025 15:46",2025-11-05,15:46:14,,active,,session_690b71467d974_1762357574,false,10,2025-11-05 15:46:14,2025-11-07 01:11:48,60,9,0,0,0
15,4,8,"Quick Session - Nov 05, 2025 16:47",2025-11-05,16:47:37,06:31:00,completed,,session_690b7fa9744bd_1762361257,false,10,2025-11-05 16:47:37,2025-11-06 06:31:00,60,0,0,0,0
16,5,16,"Quick Session - Nov 06, 2025 03:21",2025-11-06,03:21:26,,active,,session_690c1436c4efd_1762399286,false,10,2025-11-06 03:21:26,2025-11-06 03:21:26,60,0,0,0,0
17,5,16,"Quick Session - Nov 06, 2025 04:10",2025-11-06,04:10:14,,active,,session_690c1fa6c39d6_1762402214,false,10,2025-11-06 04:10:14,2025-11-07 01:07:00,60,7,0,1,0
18,4,13,"Direct Attendance - Nov 06, 2025 06:27",2025-11-06,06:27:35,06:30:08,completed,,session_690c3fd766c2a_1762410455,false,10,2025-11-06 06:27:35,2025-11-06 06:30:08,60,0,0,0,0
19,5,15,"Quick Session - Nov 06, 2025 15:56",2025-11-06,15:56:48,,active,,session_690cc540bb4af_1762444608,false,10,2025-11-06 15:56:48,2025-11-07 00:28:47,60,2,0,0,0
21,5,16,"Quick Session - Nov 06, 2025 16:03",2025-11-06,16:03:21,16:04:53,completed,,session_690cc6c9a1d30_1762445001,false,10,2025-11-06 16:03:21,2025-11-06 16:04:53,60,0,0,0,0
22,5,16,"Quick Session - Nov 06, 2025 16:05",2025-11-06,16:05:28,16:19:12,completed,,session_690cc7484eabf_1762445128,false,10,2025-11-06 16:05:28,2025-11-06 16:19:12,60,0,0,0,0
23,5,15,"Quick Session - Nov 06, 2025 16:19",2025-11-06,16:19:19,16:19:26,completed,,session_690cca8753b08_1762445959,false,10,2025-11-06 16:19:19,2025-11-06 16:19:26,60,0,0,0,0
24,5,15,"Quick Session - Nov 06, 2025 16:20",2025-11-06,16:20:12,00:27:21,completed,,session_690ccabccb003_1762446012,false,10,2025-11-06 16:20:12,2025-11-07 00:27:21,60,1,0,0,0
25,5,15,"Quick Session - Nov 07, 2025 00:27",2025-11-07,00:27:27,00:46:22,completed,,session_690d3cefea685_1762475247,false,10,2025-11-07 00:27:27,2025-11-07 00:46:22,60,2,0,0,4
